(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('mi', 0.011456678535534644), 16, (1634, 1397), 2, 'hsl(0, 100%, 30%)')
(('otros', 0.011449258902278438), 16, (1601, 1538), 2, 'hsl(0, 100%, 30%)')
(('también', 0.011399792331319847), 16, (1274, 1365), None, 'hsl(0, 100%, 30%)')
(('pues', 0.011398134510447784), 16, (1643, 1673), 2, 'hsl(0, 100%, 30%)')
(('años', 0.011251451706929086), 16, (1297, 1619), None, 'hsl(0, 100%, 30%)')
(('está', 0.01105892498298478), 16, (1618, 1483), 2, 'hsl(0, 100%, 30%)')
(('tiene', 0.01080290949944108), 16, (1546, 1337), None, 'hsl(0, 100%, 30%)')
(('él', 0.010747911935332713), 16, (1292, 1379), 2, 'hsl(0, 100%, 30%)')
(('donde', 0.01071014584799319), 16, (1436, 1680), None, 'hsl(0, 100%, 30%)')
(('otro', 0.010698974875956788), 16, (1476, 1254), None, 'hsl(0, 100%, 30%)')
(('otra', 0.010659223330362268), 16, (1531, 1466), 2, 'hsl(0, 100%, 30%)')
(('cual', 0.010618747786360759), 16, (1701, 1357), None, 'hsl(0, 100%, 30%)')
(('estos', 0.01060260300957574), 16, (1471, 1715), None, 'hsl(0, 100%, 30%)')
(('don', 0.010570737216057894), 16, (1721, 1524), 2, 'hsl(0, 100%, 30%)')
(('hay', 0.010556596269279173), 16, (1441, 1369), None, 'hsl(0, 100%, 30%)')
(('todas', 0.01043827672010841), 16, (1379, 1682), 2, 'hsl(0, 100%, 30%)')
(('año', 0.01030902069654208), 16, (1584, 1645), 2, 'hsl(0, 100%, 30%)')
(('uno', 0.01027329520168483), 16, (1322, 1512), 2, 'hsl(0, 100%, 30%)')
(('mayor', 0.010187539926827442), 16, (1604, 1566), None, 'hsl(0, 100%, 30%)')
(('esto', 0.0099632148069595458), 16, (1514, 1355), 2, 'hsl(0, 100%, 30%)')
(('contra', 0.0097071639215545007), 16, (1606, 1376), 2, 'hsl(0, 100%, 30%)')
(('sido', 0.0096154692766215622), 16, (1256, 1528), None, 'hsl(0, 100%, 30%)')
(('les', 0.0094988679197133448), 16, (1597, 1495), None, 'hsl(0, 100%, 30%)')
(('derecho', 0.0094675227944172723), 16, (1540, 1494), None, 'hsl(0, 100%, 30%)')
