(('de', 1.0), 90, (1632, 1518), None, 'hsl(0, 100%, 30%)')
(('foliar', 0.097656092159415522), 4, (1811, 1738), 2, 'hsl(233, 100%, 30%)')
(('virreinatos', 0.097097999141059488), 4, (1801, 1689), None, 'hsl(233, 100%, 30%)')
(('envolvente', 0.097028505840282442), 4, (1943, 1727), 2, 'hsl(233, 100%, 30%)')
(('moyobamba', 0.096616487698172521), 4, (1936, 1783), None, 'hsl(233, 100%, 30%)')
(('northern', 0.0942910154757826), 4, (1798, 1779), None, 'hsl(233, 100%, 30%)')
(('localización', 1.0), 34, (1963, 1505), None, 'hsl(121, 100%, 30%)')
(('santafé', 0.73087660353054851), 29, (1867, 1512), 2, 'hsl(156, 100%, 30%)')
(('pedagógico', 0.62851845703272669), 27, (1764, 1563), 2, 'hsl(169, 100%, 30%)')
(('beltrán', 0.61643499205659769), 27, (1990, 1529), None, 'hsl(170, 100%, 30%)')
(('honorabilidad', 0.57482087921594538), 26, (1788, 1590), 2, 'hsl(176, 100%, 30%)')
(('nariño', 0.53359487075805601), 25, (1866, 1618), 2, 'hsl(181, 100%, 30%)')
(('managua', 0.53209372070356087), 16, (2011, 1505), None, 'hsl(181, 100%, 30%)')
(('monroe', 0.49354963892681103), 15, (1816, 1507), None, 'hsl(186, 100%, 30%)')
(('tarapacá', 0.47600856749871151), 15, (1874, 1543), 2, 'hsl(188, 100%, 30%)')
(('pesimismo', 0.45578264841662786), 15, (1885, 1637), 2, 'hsl(191, 100%, 30%)')
(('diecisiete', 0.45366875167663395), 14, (1989, 1621), None, 'hsl(191, 100%, 30%)')
(('alcoholismo', 0.38820391631479612), 11, (1781, 1504), None, 'hsl(200, 100%, 30%)')
(('prejuicio', 0.38657564616343543), 11, (1816, 1611), 2, 'hsl(200, 100%, 30%)')
(('ordóñez', 0.3704887744466171), 11, (1905, 1556), 2, 'hsl(202, 100%, 30%)')
(('formosa', 0.36406300057325308), 11, (1842, 1513), None, 'hsl(203, 100%, 30%)')
(('rumania', 0.34808725540117091), 11, (1912, 1654), 2, 'hsl(205, 100%, 30%)')
(('sudamericana', 0.33181174535533892), 9, (2024, 1506), None, 'hsl(207, 100%, 30%)')
(('constitucionalista', 0.32479933126130017), 7, (1833, 1505), None, 'hsl(208, 100%, 30%)')
(('pedagógicas', 0.32393341332606473), 7, (1769, 1524), None, 'hsl(208, 100%, 30%)')
(('alcantarillado', 0.30223356333621021), 7, (1852, 1508), None, 'hsl(211, 100%, 30%)')
(('larreta', 0.29814545167944972), 7, (1938, 1568), None, 'hsl(211, 100%, 30%)')
(('guaraníes', 0.29342894411484488), 7, (1935, 1543), 2, 'hsl(212, 100%, 30%)')
(('pedagógicos', 0.28232623973414211), 7, (1918, 1506), 2, 'hsl(213, 100%, 30%)')
(('maipo', 0.27662722348757102), 7, (1995, 1504), None, 'hsl(214, 100%, 30%)')
(('araya', 0.26716371684202789), 7, (1779, 1591), None, 'hsl(215, 100%, 30%)')
(('pavón', 0.26339587360764388), 7, (2015, 1580), None, 'hsl(216, 100%, 30%)')
(('inmigrante', 0.25988387774989663), 7, (2002, 1632), None, 'hsl(216, 100%, 30%)')
(('intelectualidad', 0.2584425275825703), 7, (1900, 1610), 2, 'hsl(216, 100%, 30%)')
(('entusiasmos', 0.25666465851086995), 7, (1881, 1536), 2, 'hsl(217, 100%, 30%)')
(('etnología', 0.24857549358657918), 7, (1926, 1666), 2, 'hsl(218, 100%, 30%)')
(('maipú', 0.24223494842360099), 7, (1797, 1522), None, 'hsl(218, 100%, 30%)')
(('acuérdase', 0.23954590389304811), 7, (1806, 1527), None, 'hsl(219, 100%, 30%)')
(('banano', 0.23900146250062329), 7, (1858, 1527), None, 'hsl(219, 100%, 30%)')
(('psíquicas', 0.23255861781799117), 7, (1831, 1627), 2, 'hsl(220, 100%, 30%)')
(('taine', 0.21331103479412458), 7, (1879, 1560), 2, 'hsl(222, 100%, 30%)')
(('huancayo', 0.21271318320787846), 7, (1872, 1586), 2, 'hsl(222, 100%, 30%)')
(('puntuación', 0.20653900166383224), 6, (2011, 1608), None, 'hsl(223, 100%, 30%)')
(('ancón', 0.1987234293740516), 6, (1944, 1628), 2, 'hsl(224, 100%, 30%)')
(('soldán', 0.19812761010393612), 6, (1913, 1585), 2, 'hsl(224, 100%, 30%)')
(('amérique', 0.19595413834828893), 6, (1949, 1552), None, 'hsl(224, 100%, 30%)')
(('fiduciaria', 0.18845813811355577), 6, (1962, 1587), None, 'hsl(225, 100%, 30%)')
(('gazeta', 0.18573865680918283), 6, (1892, 1508), 2, 'hsl(226, 100%, 30%)')
(('integrales', 0.18524051467378749), 6, (1824, 1513), None, 'hsl(226, 100%, 30%)')
(('contraproducente', 0.18102312550539504), 5, (1789, 1510), None, 'hsl(226, 100%, 30%)')
(('philadelphia', 0.18026622064398579), 5, (2024, 1568), None, 'hsl(226, 100%, 30%)')
(('declarativo', 0.17894801995654544), 5, (2032, 1517), None, 'hsl(227, 100%, 30%)')
(('condominio', 0.17843825544690892), 5, (1810, 1621), 2, 'hsl(227, 100%, 30%)')
(('ricaurte', 0.17761538694653575), 5, (1939, 1536), 2, 'hsl(227, 100%, 30%)')
(('bismarck', 0.1771208488869048), 5, (1990, 1538), None, 'hsl(227, 100%, 30%)')
(('anormalidad', 0.1766580130433078), 5, (1956, 1552), None, 'hsl(227, 100%, 30%)')
(('reconstitución', 0.17153881584801728), 5, (1922, 1617), 2, 'hsl(227, 100%, 30%)')
(('inmersión', 0.17064551258087829), 5, (1944, 1675), 2, 'hsl(228, 100%, 30%)')
(('educadora', 0.17064358257252829), 5, (1864, 1610), 2, 'hsl(228, 100%, 30%)')
(('ancud', 0.1696807257034772), 5, (1945, 1621), 2, 'hsl(228, 100%, 30%)')
(('internationale', 0.16704376154541187), 5, (1921, 1648), 2, 'hsl(228, 100%, 30%)')
(('bovina', 0.16641594219007802), 5, (1762, 1584), 2, 'hsl(228, 100%, 30%)')
(('arosemena', 0.16355421554932803), 5, (2018, 1601), None, 'hsl(229, 100%, 30%)')
(('bogota', 0.15671039813120827), 5, (1866, 1544), None, 'hsl(229, 100%, 30%)')
(('deutsche', 0.15040293401193852), 5, (2002, 1504), None, 'hsl(230, 100%, 30%)')
(('flotación', 0.14499622941744528), 5, (1755, 1590), 2, 'hsl(231, 100%, 30%)')
(('ineludibles', 0.14456514090983341), 5, (1939, 1633), 2, 'hsl(231, 100%, 30%)')
(('utilizables', 0.1445215722367218), 5, (1791, 1612), 2, 'hsl(231, 100%, 30%)')
(('estavan', 0.14421874816781755), 5, (1837, 1562), 2, 'hsl(231, 100%, 30%)')
(('sudamericanas', 0.14138888346983086), 5, (1872, 1648), 2, 'hsl(231, 100%, 30%)')
(('bío', 0.14093673915865981), 5, (1989, 1506), None, 'hsl(231, 100%, 30%)')
(('afmo', 0.14055515657651352), 5, (1804, 1512), None, 'hsl(231, 100%, 30%)')
(('matte', 0.13912390534065278), 5, (1962, 1555), None, 'hsl(232, 100%, 30%)')
(('zootecnia', 0.13857928474946801), 5, (1861, 1639), 2, 'hsl(232, 100%, 30%)')
(('sustitutivo', 0.13727956021637358), 5, (1976, 1690), 2, 'hsl(232, 100%, 30%)')
(('pecuarias', 0.13553366003920631), 5, (1913, 1571), 2, 'hsl(232, 100%, 30%)')
(('emancipadora', 0.13540309855739141), 4, (1799, 1543), None, 'hsl(232, 100%, 30%)')
(('beagle', 0.13357373906758235), 4, (1897, 1655), 2, 'hsl(232, 100%, 30%)')
(('gold', 0.13286378597121909), 4, (1961, 1680), None, 'hsl(232, 100%, 30%)')
(('tramitado', 0.13167712198436532), 4, (2000, 1669), None, 'hsl(233, 100%, 30%)')
(('prehistórica', 0.13130418587080833), 4, (1825, 1541), None, 'hsl(233, 100%, 30%)')
(('braun', 0.13076952751464141), 4, (1793, 1550), None, 'hsl(233, 100%, 30%)')
(('etats', 0.13009227438540188), 4, (1778, 1585), 2, 'hsl(233, 100%, 30%)')
(('infranqueable', 0.12847185310440681), 4, (1753, 1595), 2, 'hsl(233, 100%, 30%)')
(('emerson', 0.12811863670320742), 4, (1861, 1505), None, 'hsl(233, 100%, 30%)')
(('prohíbe', 0.12614945794562071), 4, (1759, 1601), 2, 'hsl(233, 100%, 30%)')
(('sagua', 0.12595793819651041), 4, (2021, 1598), None, 'hsl(233, 100%, 30%)')
(('rrio', 0.12540458121964612), 4, (1944, 1587), 2, 'hsl(233, 100%, 30%)')
(('budapest', 0.12435583628747891), 4, (1920, 1576), 2, 'hsl(234, 100%, 30%)')
(('malecón', 0.12372272997091095), 4, (1816, 1584), 2, 'hsl(234, 100%, 30%)')
(('comicio', 0.12333987617032788), 4, (1795, 1505), None, 'hsl(234, 100%, 30%)')
(('cuarcita', 0.1218345697138704), 4, (1841, 1635), 2, 'hsl(234, 100%, 30%)')
(('paunero', 0.1216641007135663), 4, (1773, 1505), None, 'hsl(234, 100%, 30%)')
(('gac', 0.12157772569410963), 4, (1963, 1667), None, 'hsl(234, 100%, 30%)')
(('virasoro', 0.11829365262864337), 4, (1912, 1565), 2, 'hsl(234, 100%, 30%)')
(('root', 0.11788014783420027), 4, (2001, 1619), None, 'hsl(234, 100%, 30%)')
(('sanfuentes', 0.1176408939061732), 4, (1964, 1620), None, 'hsl(234, 100%, 30%)')
(('pleural', 0.11556935099010587), 4, (1809, 1505), None, 'hsl(235, 100%, 30%)')
(('corrosión', 0.11556463456844858), 4, (1991, 1573), None, 'hsl(235, 100%, 30%)')
(('peñaloza', 0.11556162549445148), 4, (2009, 1644), None, 'hsl(235, 100%, 30%)')
(('pampeano', 0.11544719455204529), 4, (1867, 1504), 2, 'hsl(235, 100%, 30%)')
(('executor', 0.11526148693932557), 4, (1860, 1553), None, 'hsl(235, 100%, 30%)')
(('iturbe', 0.11506871704971972), 4, (1793, 1590), 2, 'hsl(235, 100%, 30%)')
(('ituzaingó', 0.1148296525273869), 4, (1902, 1616), 2, 'hsl(235, 100%, 30%)')
(('ítems', 0.11456949074441876), 4, (1870, 1616), 2, 'hsl(235, 100%, 30%)')
(('andrew', 0.10995193079350453), 4, (1924, 1524), None, 'hsl(235, 100%, 30%)')
(('taltal', 0.10993358950344302), 4, (1935, 1553), 2, 'hsl(235, 100%, 30%)')
(('galarza', 0.10920050515532759), 4, (1776, 1554), None, 'hsl(235, 100%, 30%)')
(('burmeister', 0.10903209866539955), 4, (1909, 1590), 2, 'hsl(236, 100%, 30%)')
(('matto', 0.1089318309314392), 4, (1784, 1589), None, 'hsl(236, 100%, 30%)')
(('sarandí', 0.10886633764344447), 4, (1786, 1584), 2, 'hsl(236, 100%, 30%)')
(('embrionaria', 0.10840646224750419), 4, (1904, 1662), 2, 'hsl(236, 100%, 30%)')
(('buelta', 0.1081911615881658), 4, (1860, 1584), 2, 'hsl(236, 100%, 30%)')
(('save', 0.10778458297951786), 4, (1986, 1694), 2, 'hsl(236, 100%, 30%)')
(('indiscutible', 1.0), 34, (1963, 1310), None, 'hsl(87, 100%, 30%)')
(('deficiencias', 0.92717318976882501), 33, (1769, 1415), 2, 'hsl(99, 100%, 30%)')
(('automóviles', 0.72764570669483708), 29, (1789, 1447), 2, 'hsl(131, 100%, 30%)')
(('popayán', 0.64817196614546324), 27, (1830, 1378), 2, 'hsl(144, 100%, 30%)')
(('obregón', 0.63758672232504665), 26, (1990, 1386), None, 'hsl(146, 100%, 30%)')
(('sáenz', 0.55985422987632871), 24, (1888, 1350), 2, 'hsl(159, 100%, 30%)')
(('ganadera', 0.51588853807860036), 13, (2018, 1439), None, 'hsl(166, 100%, 30%)')
(('excursión', 0.44401258967423091), 12, (1820, 1481), 2, 'hsl(177, 100%, 30%)')
(('tanques', 0.43256485197290911), 12, (1905, 1477), 2, 'hsl(179, 100%, 30%)')
(('secreción', 0.41288867667206208), 12, (1760, 1397), 2, 'hsl(183, 100%, 30%)')
(('paludismo', 0.40698800035592286), 12, (1907, 1332), 2, 'hsl(183, 100%, 30%)')
(('cheques', 0.38728003024334756), 12, (1989, 1324), None, 'hsl(187, 100%, 30%)')
(('paraguaya', 0.35482676325039475), 10, (1771, 1440), None, 'hsl(192, 100%, 30%)')
(('profilaxis', 0.28332316595849083), 9, (1947, 1372), None, 'hsl(204, 100%, 30%)')
(('ornamentación', 0.26926730945219479), 9, (2012, 1371), None, 'hsl(206, 100%, 30%)')
(('reconsideración', 0.26221052010411938), 9, (1861, 1370), 2, 'hsl(207, 100%, 30%)')
(('intoxicación', 0.24214440244375951), 9, (1816, 1407), 2, 'hsl(210, 100%, 30%)')
(('pasteur', 0.22116174973993113), 9, (1954, 1376), None, 'hsl(214, 100%, 30%)')
(('germinación', 0.21625695127261052), 9, (1842, 1470), 2, 'hsl(214, 100%, 30%)')
(('camagüey', 0.21460760940669363), 9, (1780, 1385), 2, 'hsl(215, 100%, 30%)')
(('indiscutiblemente', 0.20945184323087498), 7, (2001, 1324), None, 'hsl(216, 100%, 30%)')
(('relatividad', 0.20490495684006033), 7, (1779, 1449), None, 'hsl(216, 100%, 30%)')
(('velásquez', 0.19948340289900501), 7, (1872, 1442), 2, 'hsl(217, 100%, 30%)')
(('protoplasma', 0.19563163920610399), 7, (1892, 1405), 2, 'hsl(218, 100%, 30%)')
(('wilde', 0.19358895920562971), 7, (1876, 1398), None, 'hsl(218, 100%, 30%)')
(('rivarola', 0.19238102496216072), 7, (2030, 1469), None, 'hsl(218, 100%, 30%)')
(('trust', 0.19025306736258046), 7, (1894, 1342), 2, 'hsl(219, 100%, 30%)')
(('mazatlán', 0.18112142593082922), 7, (1954, 1417), None, 'hsl(220, 100%, 30%)')
(('indiscutibles', 0.17762287206753732), 7, (2021, 1394), None, 'hsl(221, 100%, 30%)')
(('mitin', 0.1757907055602019), 7, (2029, 1447), None, 'hsl(221, 100%, 30%)')
(('lambayeque', 0.17118653292439728), 7, (1960, 1380), None, 'hsl(222, 100%, 30%)')
(('borrero', 0.17113602262352381), 7, (1897, 1484), 2, 'hsl(222, 100%, 30%)')
(('experimentalmente', 0.17061406151148034), 4, (1955, 1455), None, 'hsl(222, 100%, 30%)')
(('escriuano', 0.16946761156683626), 4, (1952, 1352), None, 'hsl(222, 100%, 30%)')
(('manizales', 0.16699058883871615), 4, (2020, 1374), None, 'hsl(222, 100%, 30%)')
(('atrayente', 0.16631371447181062), 4, (1835, 1365), None, 'hsl(223, 100%, 30%)')
(('rawson', 0.16300515634848514), 4, (1801, 1475), 2, 'hsl(223, 100%, 30%)')
(('tetuán', 0.16258264419350468), 4, (1886, 1481), None, 'hsl(223, 100%, 30%)')
(('téllez', 0.1624450554426696), 4, (1939, 1413), 2, 'hsl(223, 100%, 30%)')
(('inconscientes', 0.16057236728349855), 4, (1795, 1472), None, 'hsl(223, 100%, 30%)')
(('quebracho', 0.16006514061031121), 4, (1809, 1380), 2, 'hsl(224, 100%, 30%)')
(('girardot', 0.15335140162689359), 4, (1983, 1302), 2, 'hsl(225, 100%, 30%)')
(('expiración', 0.15280534050915762), 4, (1937, 1322), 2, 'hsl(225, 100%, 30%)')
(('americanismo', 0.15176502680379308), 4, (1956, 1346), None, 'hsl(225, 100%, 30%)')
(('anhídrido', 0.15037489179036295), 4, (1840, 1363), 2, 'hsl(225, 100%, 30%)')
(('usina', 0.14741315350668818), 4, (2007, 1351), None, 'hsl(226, 100%, 30%)')
(('tuberías', 0.14447414307994322), 4, (1932, 1442), 2, 'hsl(226, 100%, 30%)')
(('pléyade', 0.14415861194495161), 4, (1784, 1411), 2, 'hsl(226, 100%, 30%)')
(('engranaje', 0.14053312665261139), 4, (1866, 1490), 2, 'hsl(227, 100%, 30%)')
(('renán', 0.13805373891161313), 4, (1769, 1415), 2, 'hsl(227, 100%, 30%)')
(('dispensación', 0.13745332459159998), 4, (1786, 1445), 2, 'hsl(227, 100%, 30%)')
(('histología', 0.13647704383610293), 4, (1812, 1415), 2, 'hsl(227, 100%, 30%)')
(('pigmento', 0.13048317571915352), 4, (1762, 1406), None, 'hsl(228, 100%, 30%)')
(('bolivianas', 0.12929059854554475), 4, (1989, 1315), 2, 'hsl(229, 100%, 30%)')
(('edecán', 0.12904483459236138), 4, (1800, 1488), 2, 'hsl(229, 100%, 30%)')
(('yungas', 0.12877249036032987), 4, (1961, 1472), None, 'hsl(229, 100%, 30%)')
(('substancialmente', 0.12816141525215605), 4, (1989, 1414), None, 'hsl(229, 100%, 30%)')
(('huamanga', 0.12564807321542906), 4, (1927, 1487), 2, 'hsl(229, 100%, 30%)')
(('abnegado', 0.12334979687619853), 4, (1940, 1386), None, 'hsl(229, 100%, 30%)')
(('ball', 0.12284387197104676), 4, (1839, 1441), 2, 'hsl(230, 100%, 30%)')
(('pichardo', 0.12128478407646022), 4, (1921, 1343), 2, 'hsl(230, 100%, 30%)')
(('seuilla', 0.12068684639811514), 4, (1950, 1315), 2, 'hsl(230, 100%, 30%)')
(('sondeo', 0.11945464777888513), 4, (1933, 1375), 2, 'hsl(230, 100%, 30%)')
(('ginecología', 0.11927751567478262), 4, (1861, 1358), 2, 'hsl(230, 100%, 30%)')
(('hughes', 0.11767774580928009), 4, (2007, 1360), None, 'hsl(230, 100%, 30%)')
(('seruido', 0.11705615478068823), 4, (1852, 1416), 2, 'hsl(231, 100%, 30%)')
(('salvat', 0.11478740418199873), 4, (1876, 1345), None, 'hsl(231, 100%, 30%)')
(('jenaro', 0.11451137174223114), 4, (1807, 1393), 2, 'hsl(231, 100%, 30%)')
(('climatológicas', 0.11368547210091624), 4, (1988, 1490), 2, 'hsl(231, 100%, 30%)')
(('azuero', 0.11347529773057946), 4, (1815, 1469), None, 'hsl(231, 100%, 30%)')
(('siluetas', 0.11236742911776962), 4, (1901, 1347), 2, 'hsl(231, 100%, 30%)')
(('refinerías', 0.11224710561533233), 4, (1788, 1476), None, 'hsl(231, 100%, 30%)')
(('ortíz', 0.11110382680747752), 4, (1919, 1471), 2, 'hsl(231, 100%, 30%)')
(('entomología', 0.10994155031996296), 4, (1884, 1399), None, 'hsl(232, 100%, 30%)')
(('aviadores', 0.10920605856938526), 4, (1808, 1374), 2, 'hsl(232, 100%, 30%)')
(('railway', 0.10894256484383734), 4, (1917, 1413), 2, 'hsl(232, 100%, 30%)')
(('enrolamiento', 0.10869469289668481), 4, (1936, 1448), 2, 'hsl(232, 100%, 30%)')
(('aviador', 0.10704990469812564), 4, (1815, 1490), 2, 'hsl(232, 100%, 30%)')
(('sugar', 0.10437444648061883), 4, (1989, 1381), None, 'hsl(233, 100%, 30%)')
(('quiroz', 0.10393843455826299), 4, (2009, 1338), None, 'hsl(233, 100%, 30%)')
(('frugoni', 0.10375775515369268), 4, (1858, 1444), 2, 'hsl(233, 100%, 30%)')
(('molinari', 0.10262160343265764), 4, (1866, 1363), 2, 'hsl(233, 100%, 30%)')
(('caudillaje', 0.10251245152442054), 4, (2027, 1419), None, 'hsl(233, 100%, 30%)')
(('esporas', 0.10241914070419247), 4, (1824, 1387), None, 'hsl(233, 100%, 30%)')
(('roscio', 0.10174290294250059), 4, (1918, 1443), 2, 'hsl(233, 100%, 30%)')
(('fuenzalida', 0.1010852831599823), 4, (1989, 1447), None, 'hsl(233, 100%, 30%)')
(('turbinas', 0.099558202766984558), 4, (1894, 1378), 2, 'hsl(233, 100%, 30%)')
(('gasca', 0.098185687701625432), 4, (1835, 1390), None, 'hsl(234, 100%, 30%)')
(('sorondo', 0.098115217561183424), 4, (2014, 1481), None, 'hsl(234, 100%, 30%)')
(('altruismo', 0.09712308070465564), 4, (1890, 1491), 2, 'hsl(234, 100%, 30%)')
(('aquilatar', 0.096716419402737258), 4, (1881, 1346), None, 'hsl(234, 100%, 30%)')
(('argerich', 0.095684392557754197), 4, (2010, 1461), None, 'hsl(234, 100%, 30%)')
(('zavaleta', 0.095505729681243726), 4, (1828, 1400), 2, 'hsl(234, 100%, 30%)')
(('estévez', 0.094945441128741689), 4, (1910, 1492), 2, 'hsl(234, 100%, 30%)')
(('flagelo', 0.094087296656660935), 4, (1939, 1343), 2, 'hsl(234, 100%, 30%)')
(('cuio', 0.093173195289953048), 4, (1818, 1471), 2, 'hsl(234, 100%, 30%)')
(('lehmann', 0.093141869801377508), 4, (1829, 1366), None, 'hsl(234, 100%, 30%)')
(('sport', 0.092551697095090785), 4, (1857, 1401), 2, 'hsl(234, 100%, 30%)')
(('prórrogas', 0.091840884215665317), 4, (1832, 1491), 2, 'hsl(235, 100%, 30%)')
(('sepelio', 0.091600247551869615), 4, (1831, 1447), 2, 'hsl(235, 100%, 30%)')
(('calurosamente', 0.091574699619958844), 4, (1935, 1492), 2, 'hsl(235, 100%, 30%)')
(('province', 0.090791142145533951), 4, (2012, 1350), None, 'hsl(235, 100%, 30%)')
(('zeitschrift', 0.090590738183694383), 4, (1830, 1416), 2, 'hsl(235, 100%, 30%)')
(('alucinación', 0.089535669543909027), 4, (1927, 1471), 2, 'hsl(235, 100%, 30%)')
(('berrío', 0.089140551985772656), 4, (1960, 1452), None, 'hsl(235, 100%, 30%)')
(('urbaneja', 0.088365603187299649), 4, (1844, 1371), 2, 'hsl(235, 100%, 30%)')
(('abnegados', 0.088026260181441815), 4, (1819, 1440), 2, 'hsl(235, 100%, 30%)')
(('cervezas', 0.087473526422203574), 4, (1968, 1492), 2, 'hsl(235, 100%, 30%)')
(('mobiliarios', 0.087467229424725124), 4, (1912, 1399), 2, 'hsl(235, 100%, 30%)')
(('paraguayas', 0.085301006616673072), 4, (1895, 1470), 2, 'hsl(236, 100%, 30%)')
(('buga', 0.084891811646287493), 4, (2008, 1379), None, 'hsl(236, 100%, 30%)')
(('tumaco', 0.084794031821332397), 4, (1778, 1394), 2, 'hsl(236, 100%, 30%)')
(('bacteria', 0.084713295701424621), 4, (1799, 1481), 2, 'hsl(236, 100%, 30%)')
(('térmicas', 0.08416105132570062), 4, (1861, 1378), 2, 'hsl(236, 100%, 30%)')
(('normalizar', 0.083737970808739889), 4, (1861, 1478), 2, 'hsl(236, 100%, 30%)')
(('funcionaron', 0.083622231005542294), 4, (1782, 1416), 2, 'hsl(236, 100%, 30%)')
(('artejos', 0.083023003706595239), 4, (1809, 1440), None, 'hsl(236, 100%, 30%)')
(('lesionar', 0.082806111073569111), 4, (1886, 1350), 2, 'hsl(236, 100%, 30%)')
(('fusco', 0.082378747938666744), 4, (1845, 1398), 2, 'hsl(236, 100%, 30%)')
(('reapertura', 0.081705760428768676), 4, (1821, 1474), 2, 'hsl(236, 100%, 30%)')
(('troncal', 0.081344782401770496), 4, (1961, 1320), None, 'hsl(236, 100%, 30%)')
(('letrán', 0.081339676697250798), 4, (1960, 1424), None, 'hsl(236, 100%, 30%)')
(('apurímac', 0.081237670092027564), 4, (1927, 1446), None, 'hsl(236, 100%, 30%)')
(('podestá', 0.080488450972591663), 4, (1989, 1475), None, 'hsl(236, 100%, 30%)')
(('bancada', 0.0803920690000334), 4, (2015, 1458), None, 'hsl(236, 100%, 30%)')
(('cuia', 0.080061465233560794), 4, (1989, 1372), None, 'hsl(237, 100%, 30%)')
(('acentuados', 0.079332805477328378), 4, (1764, 1423), None, 'hsl(237, 100%, 30%)')
(('decanato', 0.078310582981861013), 4, (1798, 1406), 2, 'hsl(237, 100%, 30%)')
(('imbabura', 0.07800517012170391), 4, (1910, 1378), 2, 'hsl(237, 100%, 30%)')
(('viracocha', 0.07792450137598339), 4, (1767, 1406), 2, 'hsl(237, 100%, 30%)')
(('cangallo', 0.075954877921429187), 4, (1967, 1409), 2, 'hsl(237, 100%, 30%)')
(('tucumán', 1.0), 44, (1857, 1147), None, 'hsl(0, 100%, 30%)')
(('tuberculosis', 0.80193585858497907), 30, (1822, 1178), None, 'hsl(9, 100%, 30%)')
(('biología', 0.40345961590116441), 23, (1721, 1296), 2, 'hsl(129, 100%, 30%)')
(('prejuicios', 0.37762272894772808), 21, (1905, 1217), None, 'hsl(136, 100%, 30%)')
(('parcelas', 0.33433748917884443), 20, (1933, 1228), None, 'hsl(149, 100%, 30%)')
(('standard', 0.31151783144459783), 19, (1793, 1212), None, 'hsl(156, 100%, 30%)')
(('drenaje', 0.27385951056282187), 18, (1738, 1336), 2, 'hsl(167, 100%, 30%)')
(('hidrocarburos', 0.27002312861179417), 18, (1846, 1166), None, 'hsl(169, 100%, 30%)')
(('uruguayo', 0.26604139030671392), 15, (1948, 1235), None, 'hsl(170, 100%, 30%)')
(('maquinarias', 0.2547368254156645), 13, (1810, 1214), None, 'hsl(173, 100%, 30%)')
(('brasileña', 0.2513623927232152), 13, (1777, 1229), None, 'hsl(174, 100%, 30%)')
(('gasolina', 0.24903819693527707), 13, (1891, 1158), None, 'hsl(175, 100%, 30%)')
(('camiones', 0.24456684803123679), 13, (1807, 1300), None, 'hsl(176, 100%, 30%)')
(('vacunación', 0.21563841840913786), 12, (1717, 1320), 2, 'hsl(185, 100%, 30%)')
(('biológicas', 0.20005522374434889), 12, (1749, 1356), 2, 'hsl(190, 100%, 30%)')
(('anteproyecto', 0.18713531753274684), 9, (1891, 1232), None, 'hsl(193, 100%, 30%)')
(('wagner', 0.17876006216751802), 9, (1745, 1275), 2, 'hsl(196, 100%, 30%)')
(('inaplicabilidad', 0.1662924821620006), 8, (1960, 1238), None, 'hsl(200, 100%, 30%)')
(('lavalleja', 0.16420186298338316), 8, (1901, 1202), 2, 'hsl(200, 100%, 30%)')
(('acentuado', 0.16345405624072351), 8, (1905, 1155), None, 'hsl(201, 100%, 30%)')
(('lugones', 0.16193731668619585), 8, (1722, 1284), 2, 'hsl(201, 100%, 30%)')
(('ametralladoras', 0.15059862839455271), 7, (1923, 1256), None, 'hsl(204, 100%, 30%)')
(('limited', 0.14909130204767135), 7, (1856, 1300), None, 'hsl(205, 100%, 30%)')
(('revólver', 0.14606608812840011), 7, (1761, 1330), 2, 'hsl(206, 100%, 30%)')
(('bunge', 0.1459120481813318), 7, (1787, 1267), None, 'hsl(206, 100%, 30%)')
(('basal', 0.14474027043891982), 7, (1849, 1334), 2, 'hsl(206, 100%, 30%)')
(('ameghino', 0.14052860489876762), 7, (1889, 1313), 2, 'hsl(207, 100%, 30%)')
(('flórez', 0.1357275947379615), 7, (1971, 1264), None, 'hsl(209, 100%, 30%)')
(('tubería', 0.13326969984572629), 7, (1712, 1295), None, 'hsl(210, 100%, 30%)')
(('grs', 0.13184647738633851), 7, (1725, 1336), 2, 'hsl(210, 100%, 30%)')
(('infecciosas', 0.12865297245741561), 7, (1756, 1371), 2, 'hsl(211, 100%, 30%)')
(('obstrucción', 0.12093949164780647), 7, (1737, 1264), 2, 'hsl(213, 100%, 30%)')
(('incubación', 0.11973905468502589), 7, (1926, 1213), None, 'hsl(214, 100%, 30%)')
(('encauzar', 0.11679664565745622), 7, (1932, 1189), None, 'hsl(215, 100%, 30%)')
(('consultorio', 0.11018394939017882), 7, (1846, 1289), None, 'hsl(217, 100%, 30%)')
(('injerto', 0.10846811936732993), 7, (1912, 1175), None, 'hsl(217, 100%, 30%)')
(('coloniaje', 0.10729394354588599), 7, (1937, 1197), None, 'hsl(217, 100%, 30%)')
(('ingestión', 0.1063838490276186), 7, (1897, 1217), None, 'hsl(218, 100%, 30%)')
(('luján', 0.10512993043325888), 7, (1761, 1282), 2, 'hsl(218, 100%, 30%)')
(('prestigioso', 0.1030714017309089), 6, (1820, 1245), None, 'hsl(219, 100%, 30%)')
(('roldán', 0.1020879473801459), 6, (1892, 1292), None, 'hsl(219, 100%, 30%)')
(('guatemaltecos', 0.10182157089290579), 6, (1787, 1214), None, 'hsl(219, 100%, 30%)')
(('periférica', 0.10053256204568016), 6, (1764, 1236), None, 'hsl(219, 100%, 30%)')
(('báez', 0.095416905578803168), 6, (1866, 1334), 2, 'hsl(221, 100%, 30%)')
