(('first', 0.016780847695391739), 19, (1392, 1281), 2, 'hsl(0, 100%, 30%)')
(('very', 0.016414241342058638), 19, (1405, 1517), 2, 'hsl(0, 100%, 30%)')
(('should', 0.016311143686384585), 19, (1657, 1468), None, 'hsl(0, 100%, 30%)')
(('up', 0.016095831244892559), 19, (1397, 1450), None, 'hsl(0, 100%, 30%)')
(('new', 0.015961601057788644), 19, (1388, 1724), 2, 'hsl(0, 100%, 30%)')
(('upon', 0.015843870339973077), 19, (1413, 1641), 2, 'hsl(0, 100%, 30%)')
(('made', 0.015765100587855688), 19, (1689, 1429), None, 'hsl(0, 100%, 30%)')
(('about', 0.015758037454710092), 19, (1558, 1510), 2, 'hsl(0, 100%, 30%)')
(('most', 0.015579320967615343), 19, (1466, 1603), None, 'hsl(0, 100%, 30%)')
(('then', 0.015518737837210061), 19, (1423, 1306), 2, 'hsl(0, 100%, 30%)')
(('after', 0.014934127095652922), 19, (1321, 1455), 2, 'hsl(0, 100%, 30%)')
(('could', 0.014894324657325247), 19, (1531, 1300), None, 'hsl(0, 100%, 30%)')
(('also', 0.014723202385390474), 19, (1392, 1374), 2, 'hsl(0, 100%, 30%)')
(('me', 0.014660693969581667), 19, (1329, 1306), None, 'hsl(0, 100%, 30%)')
(('great', 0.014541995087145345), 19, (1515, 1481), None, 'hsl(0, 100%, 30%)')
(('said', 0.014380088548061653), 19, (1296, 1357), 2, 'hsl(0, 100%, 30%)')
(('now', 0.013869115547406977), 19, (1531, 1380), 2, 'hsl(0, 100%, 30%)')
(('man', 0.013707856744087537), 19, (1541, 1447), 2, 'hsl(0, 100%, 30%)')
(('those', 0.013668897077053632), 19, (1729, 1549), None, 'hsl(0, 100%, 30%)')
(('must', 0.013475992398960746), 19, (1625, 1528), None, 'hsl(0, 100%, 30%)')
(('many', 0.013035679141670304), 19, (1326, 1491), 2, 'hsl(0, 100%, 30%)')
(('same', 0.012955339096710698), 19, (1395, 1392), None, 'hsl(0, 100%, 30%)')
(('being', 0.012749877246226273), 19, (1681, 1565), None, 'hsl(0, 100%, 30%)')
(('see', 0.012606751184686387), 19, (1412, 1430), None, 'hsl(0, 100%, 30%)')
(('before', 0.012236787568956967), 19, (1447, 1657), 2, 'hsl(0, 100%, 30%)')
(('under', 0.012233512267003293), 19, (1443, 1701), None, 'hsl(0, 100%, 30%)')
(('much', 0.012121271206180778), 19, (1438, 1456), None, 'hsl(0, 100%, 30%)')
(('well', 0.012060889971935941), 19, (1542, 1418), 2, 'hsl(0, 100%, 30%)')
(('where', 0.011931144815773996), 19, (1375, 1657), None, 'hsl(0, 100%, 30%)')
(('over', 0.011866023460903038), 19, (1493, 1373), None, 'hsl(0, 100%, 30%)')
(('even', 0.011365918988077092), 19, (1243, 1498), 2, 'hsl(0, 100%, 30%)')
(('between', 0.011329582747879484), 19, (1557, 1295), 2, 'hsl(0, 100%, 30%)')
(('life', 0.011265466640720815), 19, (1647, 1634), None, 'hsl(0, 100%, 30%)')
(('like', 0.011196324190593368), 19, (1513, 1532), None, 'hsl(0, 100%, 30%)')
(('through', 0.010827838613049231), 19, (1581, 1423), None, 'hsl(0, 100%, 30%)')
(('did', 0.010747753435695145), 19, (1501, 1297), 2, 'hsl(0, 100%, 30%)')
(('men', 0.010725136595582599), 19, (1742, 1492), None, 'hsl(0, 100%, 30%)')
(('us', 0.010635636567652823), 19, (1370, 1450), 2, 'hsl(0, 100%, 30%)')
(('work', 0.010270135173414376), 19, (1670, 1642), None, 'hsl(0, 100%, 30%)')
(('years', 0.010237392481842635), 19, (1575, 1339), None, 'hsl(0, 100%, 30%)')
