,res,start,end
abscisse,159,1850,2008
absinthes,159,1850,2008
abzac,92,1850,1941
accaparée,159,1850,2008
accepteurs,159,1850,2008
acclament,159,1850,2008
accommodation,159,1850,2008
acheminent,159,1850,2008
acheminons,159,1850,2008
acroléine,141,1850,1990
adan,101,1850,1950
adelphi,159,1850,2008
adjuvantes,159,1850,2008
adolph,159,1850,2008
adria,159,1850,2008
affectoit,55,1850,1904
agissoit,56,1850,1905
aguas,91,1850,1940
ahuri,159,1850,2008
aillaud,65,1850,1914
aimar,91,1850,1940
alcalino,154,1850,2003
algorithme,159,1850,2008
allongements,159,1850,2008
allègres,159,1850,2008
aloïs,159,1850,2008
altenburg,90,1850,1939
ambroix,159,1850,2008
ancrés,159,1850,2008
andalouses,159,1850,2008
anthérozoïdes,92,1850,1941
antifrançaise,159,1850,2008
aoriste,159,1850,2008
applicata,159,1850,2008
appréhendée,159,1850,2008
aquifères,159,1850,2008
arabella,91,1850,1940
arbuthnot,114,1850,1963
archinard,159,1850,2008
ardea,69,1850,1918
arenas,92,1850,1941
argyll,159,1850,2008
ariadne,88,1850,1937
ariette,159,1850,2008
arkhangel,111,1850,1960
arriveroit,95,1850,1944
ascète,159,1850,2008
assortit,159,1850,2008
assouplissant,159,1850,2008
atalante,159,1850,2008
atkinson,159,1850,2008
attaquoit,55,1850,1904
atwood,159,1850,2008
austin,159,1850,2008
autoclave,159,1850,2008
autocratiques,159,1850,2008
babillage,159,1850,2008
bachi,95,1850,1944
bacourt,95,1850,1944
bagot,159,1850,2008
bailey,159,1850,2008
balançoire,159,1850,2008
balises,159,1850,2008
baltiques,159,1850,2008
banquise,159,1850,2008
barbie,49,1850,1898
barbosa,159,1850,2008
barmen,159,1850,2008
barnard,159,1850,2008
barrettes,159,1850,2008
barère,159,1850,2008
basculant,159,1850,2008
bastingage,159,1850,2008
beckmann,159,1850,2008
bellaigue,159,1850,2008
belligérants,159,1850,2008
bertaut,159,1850,2008
beulé,109,1850,1958
bhagavat,71,1850,1920
bielefeld,159,1850,2008
bissectrice,159,1850,2008
bissectrices,159,1850,2008
blatt,159,1850,2008
bonvalet,159,1850,2008
booth,159,1850,2008
bornet,159,1850,2008
borély,95,1850,1944
boucler,159,1850,2008
bowman,159,1850,2008
bp,159,1850,2008
braga,159,1850,2008
brahmâ,37,1850,1886
brandy,159,1850,2008
breil,159,1850,2008
brigham,159,1850,2008
brix,159,1850,2008
broadway,159,1850,2008
bromo,145,1850,1994
bruant,159,1850,2008
bruniquel,92,1850,1941
bulbo,131,1850,1980
burrows,159,1850,2008
buée,159,1850,2008
bénéficiaires,159,1850,2008
béryl,159,1850,2008
cagniard,85,1850,1934
calebasses,159,1850,2008
calédoniens,159,1850,2008
canossa,159,1850,2008
canée,159,1850,2008
capacite,159,1850,2008
cardita,94,1850,1943
carro,98,1850,1947
cartouchières,159,1850,2008
casaregis,67,1850,1916
casseur,159,1850,2008
castaing,159,1850,2008
castellani,159,1850,2008
caséeuses,126,1850,1975
cecil,159,1850,2008
chaize,159,1850,2008
charpenté,159,1850,2008
chatelier,159,1850,2008
chaussade,94,1850,1943
chaves,159,1850,2008
chaville,159,1850,2008
cheptel,159,1850,2008
chevillard,159,1850,2008
chevrettes,159,1850,2008
chimpanzé,159,1850,2008
choquet,159,1850,2008
choroïdien,59,1850,1908
christianisé,159,1850,2008
clarifiés,159,1850,2008
clausius,159,1850,2008
clergyman,159,1850,2008
cliquant,29,1850,1878
clonique,94,1850,1943
clowns,159,1850,2008
coal,159,1850,2008
codification,159,1850,2008
colani,104,1850,1953
cold,159,1850,2008
colloïde,129,1850,1978
colonisateur,159,1850,2008
commémorations,159,1850,2008
conche,85,1850,1934
condensations,159,1850,2008
conductibilités,124,1850,1973
confina,159,1850,2008
confrontée,159,1850,2008
conjugué,159,1850,2008
constatais,159,1850,2008
contreras,159,1850,2008
contées,159,1850,2008
cortical,159,1850,2008
coseigneurs,101,1850,1950
cosmiques,159,1850,2008
coupantes,159,1850,2008
craven,159,1850,2008
crevette,159,1850,2008
cristalloïde,127,1850,1976
croirois,102,1850,1951
crânement,159,1850,2008
currents,159,1850,2008
cylindrage,159,1850,2008
cystites,159,1850,2008
câble,159,1850,2008
cèze,159,1850,2008
céramique,159,1850,2008
céramiques,159,1850,2008
cérébelleuse,137,1850,1986
cérébelleuses,137,1850,1986
césarisme,159,1850,2008
côlon,134,1850,1983
dalmate,159,1850,2008
dandré,49,1850,1898
daniele,159,1850,2008
dartmouth,159,1850,2008
daudin,159,1850,2008
dechambre,159,1850,2008
deduction,159,1850,2008
dentifrice,159,1850,2008
dentifrices,159,1850,2008
dentistes,159,1850,2008
dermiques,159,1850,2008
descemet,65,1850,1914
desmarais,159,1850,2008
desserrage,156,1850,2005
destinoit,69,1850,1918
deviendroient,65,1850,1914
deviendroit,93,1850,1942
devonien,65,1850,1914
diabétique,159,1850,2008
dieulafoy,159,1850,2008
différentiation,159,1850,2008
discernons,159,1850,2008
