,res,start,end
diffuser,159,1850,2008
dilettantische,159,1850,2008
dilettantischen,159,1850,2008
dimorphismus,122,1850,1971
dipl,159,1850,2008
directa,93,1850,1942
disciplinae,159,1850,2008
discorso,159,1850,2008
discursive,56,1850,1905
disharmonien,159,1850,2008
dispositionsfreiheit,159,1850,2008
dissecans,96,1850,1945
distant,159,1850,2008
divina,159,1850,2008
divinae,159,1850,2008
divinam,159,1850,2008
divine,159,1850,2008
divino,159,1850,2008
doctrinam,159,1850,2008
dohle,95,1850,1944
dolor,159,1850,2008
doppelbilder,95,1850,1944
doppelbildern,96,1850,1945
doppelbrechung,126,1850,1975
doppelheit,159,1850,2008
drain,159,1850,2008
drainage,159,1850,2008
drastischer,159,1850,2008
dreschmaschine,159,1850,2008
drüsenschwellungen,121,1850,1970
duette,159,1850,2008
dunlop,95,1850,1944
dupre,159,1850,2008
durante,159,1850,2008
durchströmung,159,1850,2008
durchtränkten,159,1850,2008
dynamismus,159,1850,2008
dû,159,1850,2008
eastern,159,1850,2008
ecce,159,1850,2008
echternach,159,1850,2008
eecht,126,1850,1975
efficiens,159,1850,2008
einengte,159,1850,2008
eingangshalle,159,1850,2008
eingangspforte,159,1850,2008
eingefügte,159,1850,2008
eingelassene,159,1850,2008
einrollung,122,1850,1971
eintagsfliegen,159,1850,2008
eisenbahnunternehmen,159,1850,2008
eisenbahnverkehr,159,1850,2008
eisenbahnverwaltungen,159,1850,2008
ekzem,135,1850,1984
elegantem,159,1850,2008
embryonalanlage,94,1850,1943
embryonales,127,1850,1976
eminentia,144,1850,1993
endemann,159,1850,2008
enqueten,159,1850,2008
entfallt,95,1850,1944
entstammende,159,1850,2008
entwicklungsgesetzen,159,1850,2008
epileptiker,159,1850,2008
epithelschicht,123,1850,1972
equi,95,1850,1944
erbrechtliche,159,1850,2008
erdbewegung,159,1850,2008
erdinnern,159,1850,2008
erkennbarem,159,1850,2008
erkenntnisstheorie,63,1850,1912
ermöglichen,159,1850,2008
ermöglichte,159,1850,2008
ernestinischen,95,1850,1944
erntearbeiten,159,1850,2008
erschlossene,159,1850,2008
erstellt,159,1850,2008
erwerbsgesellschaft,159,1850,2008
erwerbsgesellschaften,159,1850,2008
erytheme,112,1850,1961
erzwingbarkeit,159,1850,2008
erzählerin,159,1850,2008
essentia,159,1850,2008
essentiam,159,1850,2008
essentieller,159,1850,2008
exemplum,159,1850,2008
existentes,159,1850,2008
existit,159,1850,2008
expansion,159,1850,2008
expansionskraft,159,1850,2008
expansive,159,1850,2008
expertise,159,1850,2008
exposé,159,1850,2008
exterritorialität,159,1850,2008
facie,159,1850,2008
factus,159,1850,2008
familienpflichten,159,1850,2008
farbenempfindungen,95,1850,1944
farmer,159,1850,2008
faßbar,159,1850,2008
fensterbrett,159,1850,2008
fernandez,159,1850,2008
festmachen,159,1850,2008
fettsäuren,159,1850,2008
feuerland,159,1850,2008
fiebernden,159,1850,2008
filios,159,1850,2008
filtrate,120,1850,1969
finis,159,1850,2008
finita,159,1850,2008
fischerdorf,159,1850,2008
fischmarkt,159,1850,2008
fixationspunkt,100,1850,1949
fjord,159,1850,2008
flint,159,1850,2008
fml,91,1850,1940
folgenschwersten,159,1850,2008
foligno,95,1850,1944
font,159,1850,2008
fora,159,1850,2008
formelement,159,1850,2008
forstverein,105,1850,1954
forstvereins,113,1850,1962
freigelegte,159,1850,2008
freischütz,159,1850,2008
friedhof,159,1850,2008
from,159,1850,2008
