,res,start,end
akademie der pädagogischen wissenschaften der,59,1950,2008
auf nationaler und internationaler ebene,59,1950,2008
buch oder teile daraus auf,59,1950,2008
bundesrepublik deutschland und der regierung,59,1950,2008
der akademie für gesellschaftswissenschaften beim,59,1950,2008
der bundesrepublik deutschland in der,59,1950,2008
der ddr und in der,59,1950,2008
der deutschen akademie der landwirtschaftswissenschaften,59,1950,2008
der deutschen gesellschaft für osteuropakunde,59,1950,2008
der endphase der weimarer republik,59,1950,2008
der partei der arbeiterklasse und,59,1950,2008
der sowjetunion und der anderen,59,1950,2008
der udssr und den anderen,59,1950,2008
der udssr und der ddr,59,1950,2008
des sozialismus in der deutschen,59,1950,2008
des sozialismus und des friedens,59,1950,2008
des zentralkomitees der sozialistischen einheitspartei,59,1950,2008
deutschland und der regierung der,59,1950,2008
foreign relations of the united,59,1950,2008
für gesellschaftswissenschaften beim zk der,59,1950,2008
geschichte des parlamentarismus und der,59,1950,2008
geschichte in wissenschaft und unterricht,59,1950,2008
in der ddr und die,59,1950,2008
institut der freien universität berlin,59,1950,2008
konferenz der kultusminister der länder,59,1950,2008
konvention zum schutze der menschenrechte,59,1950,2008
mitglied des politbüros des zk,59,1950,2008
organisation für wirtschaftliche zusammenarbeit und,59,1950,2008
parteitages der sozialistischen einheitspartei deutschlands,59,1950,2008
plenum des zk der sed,59,1950,2008
relations of the united states,59,1950,2008
sitzung des deutschen bundestages am,59,1950,2008
sozialismus in der deutschen demokratischen,59,1950,2008
stifterverband für die deutsche wissenschaft,59,1950,2008
tagung des zentralkomitees der sed,59,1950,2008
tagung des zk der sed,59,1950,2008
und der regierung der ddr,59,1950,2008
veb deutscher verlag der wissenschaften,59,1950,2008
zeitschrift für bibliothekswesen und bibliographie,59,1950,2008
zentralkomitee der sozialistischen einheitspartei deutschlands,59,1950,2008
zentralkomitees der sozialistischen einheitspartei deutschlands,59,1950,2008
zum ende des zweiten weltkrieges,59,1950,2008
zur erforschung der geschichte der,59,1950,2008
zwischen der regierung der bundesrepublik,59,1950,2008
