,res,start,end
acuerda un crédito,35,1916,1950
al oir la,141,1810,1950
asunto que figura,50,1901,1950
concede permiso al,82,1869,1950
consejo escolar del,56,1895,1950
del fiscal general,70,1881,1950
dicho don hernando,9,1942,1950
dios guarde muchos,147,1804,1950
ella por camino,6,1945,1950
en el jardin,140,1811,1950
exámen de la,151,1800,1950
los empleos empleos,25,1926,1950
los primeros dias,151,1800,1950
los que despues,151,1800,1950
orden comunicada por,77,1874,1950
por lo comun,151,1800,1950
primeros dias de,151,1800,1950
que habia dejado,136,1815,1950
que lo habia,151,1800,1950
regimientos donde ha,25,1926,1950
se decia que,151,1800,1950
se habian de,151,1800,1950
solo en cuanto,135,1816,1950
solo sirven para,151,1800,1950
total hasta fin,25,1926,1950
tres dias siguientes,124,1827,1950
vota la moción,70,1881,1950
