,res,start,end
a basketful,159,1850,2008
a beat,159,1850,2008
a boaster,159,1850,2008
a bonded,159,1850,2008
a bookworm,159,1850,2008
a boyhood,159,1850,2008
a branchial,159,1850,2008
a brougham,159,1850,2008
a bumble,159,1850,2008
a burglar,159,1850,2008
a burmese,159,1850,2008
a calorific,159,1850,2008
a centenary,159,1850,2008
a chanting,159,1850,2008
a charade,159,1850,2008
a charmingly,159,1850,2008
a children,159,1850,2008
a christening,159,1850,2008
a civilizing,159,1850,2008
a clicking,159,1850,2008
a coercion,159,1850,2008
a confection,159,1850,2008
a constitutionally,159,1850,2008
a contretemps,159,1850,2008
a conundrum,159,1850,2008
a cookery,159,1850,2008
a coolie,159,1850,2008
a core,159,1850,2008
a cowering,159,1850,2008
a crayon,159,1850,2008
a cyclops,159,1850,2008
a demoralized,159,1850,2008
a dickens,159,1850,2008
a dismissed,159,1850,2008
a draped,159,1850,2008
a dropped,159,1850,2008
a faro,159,1850,2008
a fatuous,159,1850,2008
a firstborn,94,1850,1943
a flatboat,159,1850,2008
a formally,159,1850,2008
a fossilized,159,1850,2008
a freshman,159,1850,2008
a fulminating,159,1850,2008
a functional,159,1850,2008
a funny,159,1850,2008
a gamut,159,1850,2008
a gangue,155,1850,2004
a ghibelline,159,1850,2008
a giantess,159,1850,2008
a girls,159,1850,2008
a grantor,159,1850,2008
a greengrocer,159,1850,2008
a grout,159,1850,2008
a handicraft,159,1850,2008
a hardworking,159,1850,2008
a hassock,159,1850,2008
a hoss,159,1850,2008
a hysterical,159,1850,2008
a indicates,159,1850,2008
a journalist,159,1850,2008
a lakh,159,1850,2008
a limpet,159,1850,2008
a livin,159,1850,2008
a lookout,159,1850,2008
a lowest,159,1850,2008
a madwoman,159,1850,2008
a mastodon,159,1850,2008
a millionaire,159,1850,2008
a mollusk,159,1850,2008
a moorland,159,1850,2008
a mower,159,1850,2008
a mowing,159,1850,2008
a newport,159,1850,2008
a pained,159,1850,2008
a pariah,159,1850,2008
a paroxysmal,159,1850,2008
a paying,159,1850,2008
a peeled,159,1850,2008
a pentecostal,159,1850,2008
a perineal,159,1850,2008
a physically,159,1850,2008
a poignant,159,1850,2008
a proclivity,159,1850,2008
a professorial,159,1850,2008
a programme,159,1850,2008
a prolapse,159,1850,2008
